banco,instancia,resultado
symm2026,09637d3bd641b4d733666a862e8918ea.cnf.xz,vars=12662 clauses=102387 xors=97 k3=0 k4=0 k5=97 k6=0 covered=485 maxcomp=1
symm2026,0be1e12a8e7282d1a4e389bb90f6dbc7.cnf.xz,vars=1200 clauses=8093 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,0c9da400944b002f90fd385d4fdab385.cnf.xz,vars=568 clauses=553495 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,1bb9fe12b4fb50e98903ee87a51d6472.cnf.xz,vars=11680 clauses=74581 xors=86 k3=86 k4=0 k5=0 k6=0 covered=258 maxcomp=1
symm2026,2b8cac8e1f5cad04696004e7fbf5cf2e.cnf.xz,vars=289 clauses=242594 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,vars=2856 clauses=11109 xors=42 k3=42 k4=0 k5=0 k6=0 covered=126 maxcomp=1
symm2026,543e67dd5abc272c37775b1b742a1d9a.cnf.xz,vars=25162 clauses=542447 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,5de866bc7ff4dfde3cd682b5aca75894.cnf.xz,vars=320 clauses=30726 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,74931e82fd208ed949fa44bccd80df6b.cnf.xz,vars=862 clauses=855716 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,8d0d8518a438d93428257d9a38863c3c.cnf.xz,vars=13211 clauses=122177 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,91860f79f079fede859034c7d76a98a2.cnf.xz,vars=29183 clauses=697937 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,920bbe559da4ea37fd636605316a791c.cnf.xz,vars=500 clauses=15526 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,a20f076f7fce54172e823c63ea7948f7.cnf.xz,vars=260 clauses=16640 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,ae48df6541d190c096b1e5ba22d1b534.cnf.xz,vars=6664 clauses=89966 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,ba14be209c2fc064726025f017cef17a.cnf.xz,vars=83188 clauses=1909831 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,c557ad9cb79983b9d429c219e3cecbb8.cnf.xz,vars=7216 clauses=3661485 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,d0b5d1dc96a5bf33d2c65106c3b179a8.cnf.xz,vars=568 clauses=7150 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,f2c6d035d0aa58cc06927af6be7a821f.cnf.xz,vars=9630 clauses=2735974 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,f497bda3018958d7ba2d1cd99da3982e.cnf.xz,vars=2300 clauses=21816 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,f52a349677a5b5b5315b5954b3181fe3.cnf.xz,vars=76014 clauses=1432755 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,f8443057c188f6c9cfb711ff3d4aa6ff.cnf.xz,vars=2720 clauses=105706 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,09e0775d2b51c49ec1ec4d214ee7c8c8.cnf.xz,vars=342 clauses=339679 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,37fa67bd34cc613f3fc6954cdee943c1.cnf.xz,vars=52675 clauses=78594 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,77bfac6b280653e63013f77d0991484e.cnf.xz,vars=138711 clauses=4688613 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,7d311f620f4ebc4adf8f4079899750eb.cnf.xz,vars=550 clauses=4941 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,97af3e49faef7cf67794928b6690b67c.cnf.xz,vars=1180 clauses=635898 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,e67d733d9938c565d6359002333611ff.cnf.xz,vars=1000 clauses=13501 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,fca71c20202ef404349136c3a00465eb.cnf.xz,vars=2420 clauses=33572 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
